text,original_label,sentiment
"šušlja se, da je žrtev narkomafije.",-1,negative
"Napisano je čista resnica! Še posebej glede kulture spoštovanja
zapisanega v pogodbi (pa ne le koalicijski)!
Sicer pa dokler se na sestankih Vlade RS - včeraj je bil o tem
prispevek ene izmed slovenskih televizij v osrednjih poročilih ob
19h - pogovarjajo o barvi vozil (spremeniti jo hočejo iz bele in
modre v rumeno in modro) Policije, potem je jasno, da gre za
......!",-1,negative
"Tako dobri prijatelji smo, da naše spore rešuje arbitraža za 6 miljonov, kar bi zadostovalo za vse deficitarne štipendije.",-1,negative
"Pa so se murkoti nažalsot rešli! Se kar bojim, kako nas bojo zastopal naslednje leto v Evropi!",-1,negative
A slika je od hrošča??,0,neutral
"Bolj napetega konca skupinskega dela si ne bi bogli zaželeti!
Vesel sem, da bom danes del tega dogodka, čeprav pred tem ciklusom LP nisem bil na tekmi NK Maribor 30 let! Upam, da me ponovno ne bodo razočarali za naslednjih 30....",1,positive
"Mogoče pa nočejo v Francijo po teh dogotkih, skupaj s selektorjem",-1,negative
Plan 500 m pred mejo....,0,neutral
"Kot pravim, Jurij je z glavo že na poletih v Harrachovu :P",1,positive
"Zgodovina se samo delno ponavlja. Že res, da ponovno igramo proti Ukrajini, a tokrat bo Ukrajina Katanca in njegovo četico posilila. Srečko tokrat ne bo srečko - žal v ekipi ni Zlatkota ;)",-1,negative
Pravzaprav sem se hitro nehal smejat in si mi dal mislit. Noro!,-1,negative
"Zares nas imajo za budale, še posebno ministrica za gospodarstvo. V
Odmevih se je bebavo sprenevedala, da je združitev zrastla na
njenem zeljniku. Gotovo bo prisegla, da ne ve za to študijo in kdo
jo je spesnil ter da pozna samo bivšega ministra Bajuka.",-1,negative
"Kapitalisti bi se moral znat zadovoljit s tem da drugi delajo namesto njih pa od tega dobijo neki malega zasluzka, ne pa da oni dobijo milijone, delavci pa minimalne place. Denar bi se moral razporediti dokaj enakomerno med vse, kapitalisti se pa zadovoljit da drugi delajo namest njih.",-1,negative
Če sem na kaj ponosen v tej Sloveniji so pa to naši športniki!,1,positive
"Je treba mal pomirjat javnost. Klap, klap:)",-1,negative
"Pozabil si na t.i. ""slovenski scenarij"": 1) Siriza na volitvah
zmaga zmaga, 2) Tsipras se vrne iz Bruslja s svežnjem novih ukrepov
in dvema lizikama za javnost, 3) Pro-vladna PR kampanja poskrbi, da
v Grčiji podpora vladi splahni manj, kot bi sicer (tako ali tako pa
so volitve že preteklost) in 4) Odvisno od položaja članice EU
nekatere dogovor razlagajo kot zmago treznosti druge pa kot
zmagoviti pohod pravičnejšega družbenega reda, tako da kakšnih
močnejših odmevov ni niti drugje (razen v Sloveniji, kjer ne glede
na rezultat mediji zmago Sirize razglasijo za dokaz, da socializem
deluje).

Osebno mi je najbolj všeč scenarij obračuna pri O.K. Corral-u, kjer
se javnost EU (razen Slovenije, kjer mediji nemire pripišejo
skrajni desnici, ekonomski zlom pa neoliberalizmu) nauči kaj pomeni
socializem. Račun pa plača Grški volivec, ki je izvolil Sirizo.
Vendar pa je žal realnejši zgornji razplet, ker si Evropa zaradi
zgodovine ne more privoščiti biti pretirano pogumna.",-1,negative
"A Peter Vilfan je že za DESUS podpisal, al še ima prosti čas do konca EP 2015 ?
Prosim za pojasnilo !",-1,negative
"@fady ... Izkazali so spoštovanje šampionu Prevcu. Brez veze se matrat, ne morš z glavo skozi zid. Je kot pri šahu, ko  veš da si slabši, stisneš roko in to je to.",1,positive
"Vse rdeče telebane, ki so odgovorni in so  nas pahnili v brezno, je potrebno  lustrirati in kazensko preganjati.",-1,negative
"če komentira, da so igral slabo, bojo minusi
če komentiram, do so dobro igral, bojo spet minusi
jest te ekipe ne vidim med prvih šest na EP.......................",-1,negative
"Joj.., in ta banda ni edina!!Poglejte in preberite si ..ali samo prelistajte  Mladino, ce nocete, da se vam zelodec pokvari..., Stefancica.., pa komentarje..?!Kaj je s tem folkom??? Ni cudno, da so neocuclani mulci se pri 40.-50. tih..., nikdar nic delal.., skupaj s starsi prisesani na drzavni proracun...In serjejo kvake!!...!! In iz teh zarodkov rastejo **intelektualci** tipa Mesec.., Cigoglumice....itd..In brez skrbi, veliko takih to bando tudi voli. Kocevje z okolico je pa itak tako....in v SLO je takih se pa se...",-1,negative
kaj te dela v tej skupini ona fuzbalerka pa insibajeva?? nič posebnega nista...,-1,negative
"Dons bo moral verjetno Prevc bit skupno vsaj 5 metrov daljši od Freunda za zmago, žal tako je.",0,neutral
"Haha ne bom o tem, da ste anketo najbrž delali med zaposlenimi na RTV...

Madžarska je postavila ograjo, Nemčija zapira meje, Češka zapira meje, Danci jim govorijo naj ne hodijo k njim in še kar nekaj držav se jih že izogiba... Samo države, ki še nimamo hujših problemov z migranti (NE BEGUNCI!) jih še vabimo.

Ko bomo imeli tudi mi hujše probleme z njimi (porast kriminala, predvsem posilstev, vsiljejvanje njihovih zakonov in navad v naši državi,...) bomo tudi mi začeli zapirati meje. Do takrat pa očitno še ne bomo imeli dovolj pameti, čeprav bi bilo lepo, da bi se znali kaj naučiti iz napak drugih.",-1,negative
"Malo dol, napoveduje se pa prava ""norišnica"" z bencinom. Kako daleč z neumnostmi se ta vlada še lahko spusti? 

 Infrastruktura
Gašperšič z novim letom draži bencin
Jan Bratanič
5.12.2015

Minister za infrastrukturo Peter Gašperšič želi oblikovati infrastrukturni sklad, ki ga bo leta 2016 polnil z do tremi centi od vsakega prodanega litra bencina, leta 2017 z do šestimi, po letu 2018 pa z do devetimi centi na liter,",-1,negative
"Mogoče jih je pa že kar precej, zaradi pomanjkanja in bolezni, ker ne dobijo službe z miloščino pa ne morejo preživet, umrlo.
Tem statistikam, ki jih narekujejo vladne udbomafijske sile, ne verjamem nič.
Vsak dan propadajo podjetja, brezposelnost se pa po vladnih virih manjša???????
To je ena takih, kot je bila tista Boratova, da je Primorska že ven iz krize in so Primorci na veliko protestirali proti takemu zavajanju.",-1,negative
LOL kaj živimo v isti državi,-1,negative
"Luzerji, da jim ni para (za neuke: slika mora imeti naslov)",-1,negative
"Iste stvari govori Janša, pa ga ne poslušajo. Sedaj smo dobili iz prve roke, od prvorazrednih Evropejcev potrditev, komunisti nas lupijo na veliko. Hvala Evropi, hvala temu gospodu, zasluži si nagrado.",-1,negative
"Iskrene čestitke, najbolj me veseli končnica, tri zaporedne točke po 13-14. veličastna zmaga v vseh pogledih. Gremo naprej Slovenijaaaaaa!!!!",1,positive
Nic novega porazna igra slovenije pol pa oni o dobrem vzdusju in o tam kak se drugace diha .... novakovica da igrat ko je tak al tak bil poskodovan in ni v formi mamo v slo ligi bolse napadalce kot ta novakovic in kot kaksen drug igralec kantanca naj zamenjajo dol z njim .... zamenja ga naj ante bo mel vsaj bolj gledlivo igro kot pa ta pocarija in nabijanje,-1,negative
"Pričakujem, da bo v Grčiji jutri prevladal razum, kolikor malo ga
je še ostalo. Glede na to kako močan turizem imajo, tudi če ne
plačujejo davkov, bi prehod na drahmo situacijo bistveno poslabšal.
Tujci bi ceneje letovali in Grki bi še dražje odplačevali dolg. Če
se jim ni uspelo pobrati s pomočjo EU, jim bo solo še težje.
Odločili se bodo za nadaljne črpanje denarja in pustili ostali del
EU v negotovosti naslednjih _ (vnesi poljubno) let. V javnosti se
namerno napihuje, da si Grki želijo drahmo nazaj, ko kažejo stare
ženice na njivi, ki pravijo, kako je prej bilo vse super, sedaj pa
samo križ in težave. Možgani so drugačnega mnenja in jutri
pričakujem poraz Sirize, čeprav si potihem želim, da zmagajo in
Grčije odrešijo €, ker imam dovolj političnih manipulacij s trgi.
Najmanj si pa želim, da zmaga Siriza in potem prevara volilno telo
ter se gre neke kvazi ukrepe. To bi bila najslabša možnost.",-1,negative
"Dokaz za to, da so slovenski finančni strokovnjaki out. Samo na TVS
jih še slavijo.",-1,negative
"@ BlaBla,

cene teh stanovanj se ne bodo spustile same od sebe. Ali se bo našel nekdo, ki bo pripravljen odšteti 2k za m2, ali pa jih bo kupila kakšna organizacija in jih oddajala v najem. Banke namreč ne zanima vaš položaj in dobro/slabo finančno stanje, ona hoče svoj denar. Žal.",-1,negative
"""Davkoplačevalci smo DUTB zagotovili decembra lani 200 milijonov
evrov za nemoteno delovanje."" Zgodba o uspehu, ni kaj !!! Čestitke
za rop pri belem dnevu!!

Največji imetniki podrejencev hvala, ker ste naredili vse, da bi
zaščitili vlagateje, davkoplačevalce!!!",-1,negative
"nemogoče, mi vendar imamo najbolj poštenega in najbolj etičnega predsednika vlade na svetu!",-1,negative
Sej bo Lindsey...jaz verjamem vate in vem da bo šlo!,1,positive
"Profesor  se pa ponovno spreneveda, in to vse ni nič res, kenede !  Seveda, saj ga je  Kurćan instaliral .  Prasice pokvarjene!",-1,negative
BRABVOOOOOOOOOOOOOOOOOOOOOOOOOO JERNEJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! bRAVOOOOOOOOOOOOOOOOOOOOOOOOOOO JURIJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJ !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! BRAVOOOOOOOOOOOOOOOOOOOOOOOOOOO ROBIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII PA KMAL SE POZDRAV!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,1,positive
"""Če bi prišlo 900 oseb, ki bi prosile za mednarodno zaščito, bi po
ocenah vlade potrebovali 12,6 milijona evrov, kar je še dobrih 11
milijonov več, kot je predvideno.""
To pomeni 1.020€/osebo/mesec (odraslo ali otroka). Nisem proti
solidarnosti z begunci, mislim, da ima država kapaciteto sprejeti
več kot 900 beguncev; ampak da je mesečni strošek oskrbe 1.020€?!
Kaj je birokracija popolnoma izgubila stik z realnostjo?",-1,negative
"Tina je po količini doseženega v samem svetovnem vrhu kar dokazuje tudi nominacija, če pa upoštevamo s kakšnimi pogoji je to dosegla pa nima konkurence!",1,positive
"Cinven je investicijski sklad, ki išče dobre priložnosti, vložiti denar, na hitro obogateti in se umakniti. To butalcem NIKOLI ne bo jasno.
  Telekom je točno to. Podcenjen. Hiter zaslužek.
A dolgoročno se v butalah nikomur ne zdi pametno ostati, saj nikoli ne veš, kakšne bisere bodo butalci izbrali v palament....
  Kaj je torej prodaja Telekoma?
  Življenjska priložnost nekaj butalcev, da zaslužijo milijone, se požvižgajo na moralo in poštenost, saj bodo z dobičkom kupili medij, kjer se bodo oprali.....
  Realnost v butalah......",-1,negative
"lahko bodo srečni, če bodo obdržali sedanje številke.",-1,negative
Jao ta Ambrose je grozno zanič.,-1,negative
"Ha, slovenska nataliteta...(namesto mentaliteta najbrž)
Kavč slovenščina.",-1,negative
"he, he, ---- balkanski modeli, čisto po njihovo - slavijo poraz",-1,negative
"haha prvo nabijejo raznorazne davke, prispevke, trošarine in nato se hvalijo, da je krize konec saj se je v državni blagajni nekaj nakopičilo :D Lahko se je hvalit in živet na račun revežev.",-1,negative
"Nepremičnina je vredna toliko kolikor ti jo je kupec pripravljen plačati. Če ti to ne ustreza pač ne prodaš in pika. Nekaj drugega pa je , če vrednost nepremičnine napihuješ zaradi koristoljubnosti - krediti in to...je to.!",-1,negative
"Ali naj verjamemo nekomu, ki se enkrat, dvakrat, trikrat zlaže! Resnice ne more nadomestiti niti milijon laži!",-1,negative
"Politiki bodo s svojim gobezdanjem povzročili ogromno škodo, ki jo bodo tako ali drugače pokrili vsi davkoplačevalci, tudi tisti ki avta sploh nimajo. Verjetno je izdelava dizla, ki bi dosegal dovoljene izpuste v realnih pogojih praktično nemogoča. Tu so še tovornjaki, lokomotive in avtobusi. Kako je z njimi? Verjetno še dosti slabše kot pri VW.",-1,negative
"Srbe smo prmagali v fuzbalu, košarki, odbojki, rokometu; juhuhu!",1,positive
"MucaMaca zakaj pa bi mi kupovali Telekom, ČE PA JE ŽE NAŠ!?

Državljani smo lastniki države, ne vlada!",-1,negative
"Meni ni treba gledati teh ""kao dobrih"" kazalcev, da vem, da je
Slovenija v dreku. Edini kazalec, ki ga merim po občutku je
opazovanje višine stropa kariernega ali dohodkovnega napredovanja
prebivalcev. Ta strop je v Sloveniji postavljen nizko, ne vem če je
kje še tako nizko. Temu eni rečejo tudi uravnilovka ali enakost v
revščini ali recimo raje enakost v brezperspektivnosti, ne ravno
revščini ker najbolj revni pa le nismo. Imamo minimalno plačo
kakršno pač imamo, in imamo nato top kader v privatnem sektorju, ki
ima 2-4x minimalno plačo. Za zjokat no. Višje plače pa ima samo
management, po večini politično kadrovan.

Slovenski javni dolg me ne bi motil, če bi bil konstanten, če bi
vsi, ki delajo v Sloveniji imeli navzgor neomejene možnosti za rast
dohodka in standarda. Pa vemo, da ni tako, ker od 1500€ dalje, te
zagrabi davčni harač in pravljice je konec.

Socialna kapica pa je zgolj obliž na amputiran ud. Premalo, veliko
premalo. Treba bi bilo razširiti dohodninske razrede, da bi 41%
dohodnine plačevali šele do 200k/letno dalje, 50% pa ukinit.",-1,negative
"Porotniće Kovać, ali veš nekaj? Ne veš, ker nić ne veš. Ne bere te nihče, kot dvornega norčka se pa te lohk vsak sposodi. Pejt mal na MMcrtvslopress. prouzaprou butlpresss.",-1,negative
"Grčiji so pomagali od sredine vojne, ko so razdelili Evropo, do kje bo segal komunizem. Grčija je bila vsa desetletja financirana iz zahoda, enako so jih spustili v evro območje. Slovenski ZKS nasledniki uničujejo Slovenijo s svojo propagando revolucionarnega gospodarstva, šolstva, bančništva, sodstva z podporo partijskih medijev, ki na račun države promovirajo dokončen bankrot Slovenije.",-1,negative
"ko bi vsaj bili toliko strokovni da bi bile vse slike ob istem količku, pa še to ni 100% zanesljivo, ker je morda smučar pri prejšnjih vratcih naredil napako.  no, vsaj slika na istem mestu bi bil velik napredek naprej da bi lahko analizirali položaj smučarja",-1,negative
"denar raje v monožični sport in ne za vrhunski. Je bolje, da smuča 10.000 slovencev več, kot da zapravljamo za ozek krog priviligirancev. 

Danes pa brez volje, brez znanja in z velikimi potrebami po denarju in sramotnimi rezultati iščejo strokovnjaki (ki so sokrivi) bajno drage rešitve... 

vogrinec bi kar naredil 3 poligone z umetnim zasneževanjem???  pri tem pa otroci v šolah nimajo pokritih telovadnic ali so te vlažne in neustrezne, ni opremljenih javnih košarkarskih igrišč, kjer bi se lahko tudi na vaseh in manjših krajih mlajši in starejši družili, tekmovali, ""športali""...  

Naj mi nekdo pove, zakaj ima en kunc višjo plačo od učitelj športne vzgoje? ker je moral revež potovat in je njegov urnik kdaj daljši od 8 ur?  

Prva naloga je, da so trenerji plačani od rezultzatov oziroma od tega, koliko uresničijo plan sezone. Ne pa da dobijo finančne in druge  nagrade, če plan dosežejo... lahko je s tujim po koprivah.

Zelo pogrešam  novinarsko raziskovalen članek o tem, kdo vse smuča preko smučarske zveze za naš denar in kako se tam dela ali nedela in kako se talajo stolčki in sestankuje. Delat začnejo šele, ko je njihova denarnica polna, pa še potem je njihovo prvo delo, dokazovanje kako so močni in vplivni. Samo kunca poglejte. Potem pa sledi jokanje da ni denarja... Kunc ni dosegel rezultatov, ni opravil svojega dela in naloge, za katero je bil najet. Za svoj totalen fijasko je pokasiral in še bo ostal pri koritu.  

Navajeni in razvajeni smo bili visokih uvrstitev v smučanju, zdaj se moramo začet zavedat realnosti.  Toliko denarja, kot ga želi smučarska zveza in kot ""strokovnjaki"" ocenjujejo potrebe, da bi se vrnili v svetovni vrh, nimamo in ga ne smemo dati za noben šport. 

Naj najdejo sponzorje, če so tako perspektivni, ampak polnenja lukenj od bančne naprej bi moralo iti za vedno konec... pravim BI moralo biti, pa vemo vsi, da ne bo tako.",-1,negative
Zdj pa nj hitro na svoje stegnejo če hočejo uspeti v članskem delu tekmovanka.Evo Massi tukaj imaš dva delovca z naprej.,0,neutral
CAR..ni kaj drugega dodati...ne pa drugi kvazi zvezdniki ;),1,positive
"Še ena klofuta levakom  ZDA bodo sprejele  1500 beguncev na 300 miljonov prebivalcev,nato MORDA  še nekaj.
Preračunajte ta % na slovenska ,dva miljona in dobite realno sliko koliko smo jih sposobni prevzeti -10 in to je to,pa še to kristjane,pa še s temi boste imeli nazadnje težave.",-1,negative
Tole mlatijo prazno slamo in mešajo meglo. Meglarji skorumpirani.,-1,negative
"Komsomolec,tvoje leninisticne izjave ne spadajo v civilizirano Evropo,danes so drugacni casi,ljudje se borijo za boljse zivljenje,za demokracijo,ne pa za preziveto ideologijo komunizma.",-1,negative
