text,true_label,predicted_label,model_response
"Škoda da ni podatkov za Švedsko. To so po Semoličevo naši vzorniki
;)

Zanimiva bi bila tudi primerjava odstoteka zaposlenih v javnem
sektorju. Tukaj sem za Švedsko našel podatek.. 15,7% v 2010.",neutral,negative,negative
"fak stari.... 
to pa je pravljica.....",negative,positive,positive
"V reprezentanci je nasplošno težko igrati neke uigrane akcije, ker so košarkaši premalo časa skupaj, da bi jim šla kombinatorika. Izjema so igralci, ki so dolgo časa skupaj, recimo Španija.",positive,neutral,neutral
"Maze: Moj športni cikel se končuje z olimpijado

Bravo Tina!!! –zelo pošteno. Enkrat smo morali priti do situacije ko hočemo-nočemo postavimo sami sebi vprašanje »kaj bo s slovenskim alpskim smučanjem po Tini«.

Massi je dokazal, da je sposoben ustvariti podjetje, katerega končni produkt je najboljša smučarka na svetu in tu ni dileme. Problem pa je status SZS. V Massijevem projektu Tina Maze je bila SZS samo eden od sponzorjev, ki je popolnoma zanemaril kvalitetno vzgojo čim boljših alpskih smučarjev.

Če je »Massijev« projekt res pravi za Slovenijo potem se je potrebno z njim dogovoriti, da prične iskati novo »tekmovalko«, ki jo bo pripeljal med zvezde. SZS naj mu plača znesek za katerega se bodo dogovorili. Seveda pa mora SZS prenehati zapravljati denar za formalno vzgojo alpincev ki jih ima samo zato, da imajo »smučarski strokovnjaki« svoje jasli !",positive,negative,negative
Če bi prej menjali trenerja pa bi bila situacija še boljša.,positive,negative,negative
"HopperMiki
Ponudniki so prodajalci. Če bi to bila javna dražba,
bi se lahko reklo tako. Pa ni. 
Za DT je bil naš Telekom že veliko več vreden kot
je sedaj. Tisti, ki so takrat hodili po Telekomu so
govorili nemško in ne angleško.",neutral,negative,negative
"cvikcanke - tukaj te podprem pa mislim, da bo res tako nekako :) tako, da do takrat si zgradite bunkerje za hišo ;)",positive,negative,negative
portugizac@za prvi vpis  se strinjam da se bolj ne bi mogel..OK!,negative,positive,positive
Vzajemna dobila tožbo proti Jakliču za 360.000 evrov,neutral,negative,negative
Ja nič pero mišica mora ubranit slovensko čast dneva,negative,positive,positive
"K_ris/11:37, ja samopostrežni MaxEn 0,033€ ceneje, MB24 0,02€ ceneje... Mogoče še Hofer, za MOL ne vem. Cene so nastavljene, da se večini nikdar ne splača vozit tankat v tujino.",negative,neutral,neutral
"Koliko je tukaj negativcev! Se sploh ne čudim, da smo Slovenci v takšnem stanju, kot pač smo!
Za pol Slovenije MB  ni slovenski klub in znajo samo šimfat. Koliko uspeha v Evropi pa so si priigrali ostali SLO klubi? Nič!!!!!! Ampak nekateri so tako po ""slovensko nevoščljivi"", da si kar želijo sosedovo crknjeno kravo, medtem, ko je njihova že zdavnaj!
Gremo Maribor, dokažite, da znate in zmorete!!!! MARIBOR - ŠAMPIJON!",positive,negative,negative
"Kdaj se začne prodaja kart? Mam občutek, da bo karta koštala 40 evrov, ker NZS itak ve, da bo štadion nabito poln.",neutral,negative,negative
ve se ki se fuzbal spila,neutral,negative,negative
"Najrajš bi vidu BiH in Slovenijo skupi na EP, ampak mam nek filing, da se bosta srečali v playoffu...",neutral,positive,positive
"sej bo, ko bosta oba v drugi ligi :)))",negative,positive,positive
"Vezjak je že pred leti skoraj do potankosti napovedal dogajanje okrog Patrie
http://zofijini.net/medi
ji_taktik/",negative,neutral,neutral
To pa ne bi smelo biti težko preveriti.,positive,neutral,neutral
Ivo dihaj malo no. Kak mu teče jezik :D,neutral,negative,negative
"Stefan Kraft je še v nedeljo po tekmi v Titisee - Neustadtu zatrdil, da bo zanesljivo nastopil na poletih v Vikersundu, potem pa so se v avstrijskem taboru odločili povsem drugače. Njihovi najboljši bodo do petka na treningu v Beljaku, kjer bodo poleg treninga na srednji napravi potestirali in izbrali novo opremo (smuči in kombinezoni) vse z ciljem, da se optimalno pripravijo na prvo tekmo svetovnega prvenstva, ki bo danes teden. Takšna je torej uradna razlaga, vsak pa si ob tem lahko misli svoje. Meni gre ob teh igricah in uradnih razlagah kar malce na smeh, po novem torej skakalci celo poletje trdo trenirajo zato, da bodo pozimi skakali, potem pa se pred vrhuncem sezone (lani OI, letos SP) brez pravega razloga umikajo pred konkurenco. Očitno prihaja čas, ko bodo nekateri trenirali samo še za OI in svetovna prvenstva, kar je milo rečeno smešno. 
Naši se na to ne ozirajo, Janus ravna podobno kot lani in mislim da je prav tako, čeprav je jasno, da prehod iz največje skakalnice na svetu na ""pručko"" v Falunu ne bo enostaven in bo gotovo predstavljal manjši hendikep. Mnogi so sicer ob tem precej skeptični in predvidevajo, da recimo Peter Prevc nima nobenih možnosti, da bi osvojil kakšno medaljo na svetovnem prvenstvu. Videli bomo kaj se bo izcimilo iz tega, je pa res da mora Peter Prevc ponujeno priložnost maksimalno izkoristiti. Z dobrim letenjem v Vikersundu bi si lahko resnično trasiral pot do VKG, kar ga mislim da trenutno bolj zanima kot medalja na svetovnem prvenstvu.",neutral,negative,negative
Maček a si ti tudi aktivist?,neutral,negative,negative
"Spomnim se enega intervjuja Tine Maze, ko je šla na samostojno pot. Razlagala je ravno o tem, da se je najprej morala naučit osnove veleslaloma, saj je bila njena tehnika povsem zgrešena. Pa vemo, da je Tina vedno veljala za veleslalomistko. No in vidimo kje je Tina sedaj...",positive,negative,negative
"a clanek o temu je na financah ali bi bil prevec proti uredniski
politiki?


www.rtvslo.si/gospod...rov/343340",negative,neutral,neutral
"@bondi

Hvala ti za odgovor.",positive,neutral,neutral
"Sr.Maček
z vsem spoštovanjem.
9.septembra 2015 =  bila objavljena samo ena fotografija, ki je  povedala vse, o rasizmu, o spoštovanju drugih ljudi, o spoštovanju drugih ver, o spoštovanju naroda/narodov, o spoštovanju države/držav, zakonov v katero so bili sprejeti.

Fotografijo potrjujejo tudi druga dejstva, žal.",neutral,negative,negative
"@tihomir:
""Nihče nas ne zavezuje k prodaji - dokler smo lastnik, mi določamo pogoje prodaje.""

Sem proti prodaji, ampak v zgornjem se bojim, da se motiš. Obljuba je bila dana. Tako nam govorijo že nekaj let.",neutral,negative,negative
"the law1 - kot prvo so ZDA velika proizvajalka nafte in danes pokrijejo že okoli 70% svojih potreb.

Kot drugo je cena goriva v ZDA politika, visoke cene bi pomenile zelo močno orožje za nasprotno stran v političnih kampanjah (glede na to, koliko se Američani prevažajo po cestah, železnicah in zraku, z zelo požrešnimi stroji)... ko bi se to poznalo še pri gospodarski rasti, bi republikanci popolnoma ponoreli.",negative,neutral,neutral
"Baje so se skakalci sprehajal ob jezeru, pa so labodi njim kruh metal, k so tok suhi :)",negative,positive,positive
"Jaz bom pa poskušal dat eno objektivo relano napoved...50% in večji padec je samo iluzija in se po moje ne bo nikoli zgodil in kakega večjega padca kot je bil do sedaj tudi po moje nebo...so ga obljubljali že za začetek prejšnjega leta, pa sredino, pa jesen, Jankovič je govoril o padcu cen za božič...še danes, ko na veliko propadajo gradbena podjetja ga ni! Mislim, da bo gradbeništvo v Sloveniji propadlo...nepremičnin nihče ne kupuje, investicij v javno infrastrukturo ni... največji del stečajne mase gradbenih podjetij bodo prevzele banke, ki pa delujejo na tako majhnem trgu da jim ni problem ""uskladit"" in držat nepremičnin do 10% pod sedanjo ceno. Povpraševanja bo zmeraj nekaj, ponudba se bo pa, po propadu gradbenikov ustavila...banke tudi novih kreditov za izgradnjo nepremičnin (razen res izjemoma za privlačne lokacije) ne bodo dajale, ker bi tako spet ustvarjale le dodatno ponudbo, kar bi lahko nižalo cene in celo tvegale nove nasedle nepremičninske naložbe! Eni pozabljate, da ne živimo več v socializmu, v kapitalizmu je očitno boljše da je kaka stvar neprodana in njena visoka cena služi za navidezno izboljšanje bilanc, kot pa da jo nekdo ceneje kupi. Na dolgi rok se bodo prazna stanovanja ziher prodala, sploh ker se bo ponudba ustavila. Ne moremo pa tudi računat, da se bo zaradi propada gradbenega sektorja znižala cena rabljenih stanovanj, ki je ravno tako relativno visoka. Kaj bo pomenil propad gradbenega sektorja za to državo bomo pa videli...samo glede na to da je ravno na račun gradbeništva raslo mlado slovensko gospodarstvo in še leta 08 ustvarilo 20% celotne gospodarske rasti in od katerega je še pred leti živelo cca 100.000 ljudi...po moje nič dobrega, sploh ker je od pufov gradbenih podjetij največ pokasirala država katero je bilo po zakonu treba poplačat pred podizvajalaci. Država sicer izpad milijardnih prihodkov, tudi iz naslova gradbene dejavnosti poskuša rešiti kratkoročno, z izdajo obveznic...samo medtem ko se je prej kuril denar in smo se zadolževali, smo dobili vsaj infrastrukturo...iz naslova AC programa so se gradile tudi šole, gasilski domovi, vodovodi, kanalizacije, lokalne ceste in ostala javna infrastruktura, da o ostalem zadovoljevanju interesov raznih civilnih iniciativ, ki so se formirale vzdolž trase in njihovem izsiljevanju države, niti ne govorim...in nenazadnje je na ta račun rasel tudi javni sektor. 

To je sicer samo moje skromno mnenje in poskušam za razliko od tipičnega ""banda kradljiva"" pisanja, razmišljat objektivno, pa tudi ne prodajam ali kupujem nobene nepremičnine.",neutral,negative,negative
generalni konkvistador,negative,neutral,neutral
Pa nam ja tako dobre gre.,negative,positive,positive
Dobičke bi morali usmerjati v zagotavljanje dela namesto razdeljevanja dividend.,neutral,negative,negative
"Trošarina se ni povišala, se je pa povišal prispevek OVE. Tako ima vlada sedaj toliko različnih prispevkov, da jih komaj sproti zvišuje. Razlika med Slovenijo in npr. Avstrijo, Nemčijo pa se vseskpzi povečuje (diesel v Avstriji že pod 1,20, München 1,26,Berlin 1,22).",neutral,negative,negative
"Hepimen: ""Zelo lahko se z vodstvom kluba dogovori, da bo podpisal zanje, če koga odtrejdajo in koga dotrejdajo. A veš, ti igralci niso ovčke, ki blejajo v ogradi, ampak se lahko kdo od pastirjev z njimi tudi pogovarja"". 
Seveda, to nam je menda vsem jasno. Moj komentar je sel pa v smeri, katero je nakazal clanek. Torej, da bo se bo Goran odlocil sele po kncu sezone. In v tem primeru ne verjamem, da bi si Phoenix dovolil riziko, da enega od 3 organizatorjev treda, potem pa po sezono izgubi se drugega. Zato sem napisal, da v takem primeru ne bo nobenega trade-a in da je to slabo za Phoenix. Da pa igralci niso ovcke, pa sam dobro vem iz lastnih izkusenj. Niti mi ni najbolj, jasno, zakaj si mi to napisal? LP",neutral,negative,negative
"jst sm pred  EP napisu da si fantje zaslužjo medaljo pa sm dubu minuse pa da  je velik uspeh prit med 8 , ma kje fantje so za   1-2 mesta in nič manj :)",positive,negative,negative
"Še vedno ni nihče pojasnil, na kakšen način boodo uvajali kvote v
praksi, glede na to, da hočejo vsi v Nemčijo pa eni še na Švedsko.",neutral,negative,negative
"Motiš se. Pritisk, da podjetje vseskozi izboljšuje poslovanje, se imenuje dobiček in ta pritisk deluje 365 dni na leto. Minimalna plača se uveljavi v ""15 dneh po objavi v uradnem listu"" in torej deluje trenutno. Podjetja se na to odzovejo trenutno z odpuščanjem ali povečanjem cen. To je popolnoma naravno, zato to tako deluje. ;)",negative,neutral,neutral
"Finance so zadržane, ampak so Mramorjevi komentarji izredno
spodbudni v smislu realnosti. Od poudarka na gospodarski rasti za
povečanje državnih prihodkov, preko tujih investicij do kritike
""vodnjakov iz EU sredstev"", vse je zelo na mestu in izredno
spodbudno v primerjavi s dosedanjimi šalabajzarji ... ali
šlamastiko novega ministra za gospodarstvo, ki očitno ne razume
prostora in časa v katerem živimo in gospodarskov rast vidi v
betonu, ne v visokih tehnologijah.

Zelo spodbudno.",negative,positive,positive
