text,true_label,predicted_label,model_response
"Merjenje izpustov z ono ščipalko na izpuhu pri  ničti obremenitvi motorja in visokimi obrati ne daje realne slike o izpustih med vožnjo.

Testi, ki jih opravimo na servisu so itak že vnaprej zasnovani tako, da ne pokažejo nič. V prostem teku ni nobenega problema zagotoviti idealno zgorevanje, da pokaže na izpuhu 0 emisij.",neutral,negative,negative
"Oče je v vas napeljal dva telefona, sam sem jih pomagal 240.
~
Tudi če bi svoj 'prispevek skupnosti' želel prodat, očetovega NE SMEM!

A to kdo razume?",neutral,negative,negative
"""Cipras sklenil koalicijo s konservativno stranko Neodvisnih Grkov....""

Madonca.
To je pa presenečenje (vsaj zame).
No najbrž bo v vsakem primeru še pestro.",positive,negative,negative
Zgleda da bomo skup gledal EP s kavčev... Semir Tuce vas še reši samo:) Sicer pa za 2 gola cajta še dost...,negative,positive,positive
"K_ris # 27.06.2015 ob 10:32 
...ker so se demokratično odločili proti poskusu vsiljevanja očitno nesprejemljivih ukrepov?
-----------------------
Ugotovila sva da je varčevanje v vojski sprejemljivo...

... kateri ukrepi, ki jih predlaga trojka se ti zdijo bistveno nesprejemljivi?",neutral,negative,negative
"Nižja brezposelnost lahko pomeni da jih je precej obupalo, pa prenehajo iskati delo.
Ni pa samo pomembna brezposelnost, kaj pa tisti ki so ¨podzaposleni"", iščejo boljše delo.
Seveda pa v Sloveniji folk ni navajen prijeti za vsako delo kot drugje po svetu. 
Univerzitetna izobrazba ti pa ne garantira delo, mogoče ti odpre vrata, samo če si folozof, potem začneš pri MsDonald's. 
Star vic pravi, kaj vprašaš tistega ki je diplomiral na filozofski fakulteti?
Lahko dobim en hamburger, pommes frites in coca-colo.
Zato pa po univerzi še v collegi da se naučiš kaj praktičnega.",neutral,negative,negative
Kdo si bo pa umil zobe?,neutral,negative,negative
"Wauu, za 50 litrov bom pridobil celih 30 centov. Hvala! :)",negative,positive,positive
Dežman in Požunova sta par? :D,neutral,negative,negative
Megla bo...,negative,neutral,neutral
"Pa še ena, kako fajn je da mamo sploh internet, da si lahko
izmenjujemo informacije mimo mainstream medijev

www.youtube.com/watc...8PCmLPPVnA",neutral,positive,positive
"Pa še komentar na razmišljanje tvojega cimra. Tistih izračunanih 40.000 (ki jih je dejansko 27.000) naj raje da na stran za starost, ko bo plačeval najemnino. Plus razliko do anuitete. Tudi če šele pri 60ih odplačaš kredit, govorimo o najemnini za naslednjih 20 let. Kaj pa če boš do 90tega živel? Če je letno najemnina za garsonjero v Ljubljani ranga 3500€, to pomeni, 70.000€. V 20 letih ne daš toliko za vzdrževanje hiše, kaj šele stanovanja.

Jaz sem pred leti računal, da me pride za celotno življenje ceneje nakup. Tudi, če se zaradi spremenjenih predpostavk to spremeni, še vedno velja, da odplačevanje stanovanja je sedanja obveznost in se trudim zanjo. Varčevanje za starost je pa vedno nekje v prihodnosti. Se navezujem na tisto analogijo za kadilce, ki prenehajo.",neutral,negative,negative
"Prva misel je bila: Ojej, boj za slovenskega turista leta bo močno okrnjen! Nato pa sem se spomnil, da turistov med slovenskimi športniki nikoli ne primanjkuje.",negative,positive,positive
Se strinjam! Je res bolše da ne nastopa do Sočija - vsaj tanaši nebo sramote delala teh 2 mesca =) =),negative,positive,positive
"Optimisti. 

Sem si shranil tale članek za primerjavo z realnostjo naslednje leto, to bo hec.",neutral,negative,negative
"mašrum kolkr js vem so vsi govoril da je njegova cena okrog 8 mio in da je pač tista plača 10 ki jo je on postavu kot pogoj mogoče mal preveč. Kaj si ti zdej to nekej veleumno govoru, medtem ko ostali niso? Tale plača je točno to kar se že 2 mesca govori...",neutral,negative,negative
Sezonski delavci....,neutral,negative,negative
ne vem od kdaj je 7 let dolgorocno obdobje,negative,neutral,neutral
"No, to pa ne gre. Družbe v državni lasti menda po novem zavezuje zakon o informacijah javnega značaja....al se motim?",positive,negative,negative
"Aja ups, seveda da ni izgubil rumene majce...takole na hitro sem se zmotil :)",positive,neutral,neutral
"upam da so zdaj še domljivcem dokazali da so konkurenčni in da bo do konca sezone tako vzdušje, tudi če bo kak padec vmes. lovorike še ne pričakujem letos, naslednje leto bi pa že lahko šlo, sploh če maribor še vedno ne bo nič vlagal, ne vem kam gre ves ta evropski denar...",negative,positive,positive
Islam ne obstaja od zadnjih nekaj let...,neutral,negative,negative
"Ne vem čemu toliko jokanja, na spisku so vsi ki tja trenutno spadajo. Manjkajo tisti, ki na njemu nočejo ali ne morejo biti. Škoda za Gogija, ampak pričakovano in za njega se ne bojim da ga v bodoče ne bo. Bi bilo zanimivo z njim na playu in z konkretnima 4 in 5 pod košem :)

Frekvenca EP je prepogosta. Košarkaši praktično nimajo prostega poletja(ep,sp) in to je problem iz čisto fizičnega stališča. Še posebej, ker jih plačujejo klubi in ne reprezentance (morebitne podkodbe).",neutral,positive,positive
"skoda, ker nisi dal gor tudi grafa o obdavcitvi. tudi tu je
precejsen mit o kao visokih slovenskih davkih v primerjavi z eu....",neutral,negative,negative
"Veronika_______ Ta pomoč ni bila napaka Evrope ! Pomoč je pozitivna , ker nekomu hočeš pomagati ni napaka , temveč poskus, da ga rešiš ! Mi smo iz tega zornega kota in z praktičnim znanjem, saj smo preživeli komunistično enoumje , videli in vedeli kako se bo končalo ! Toda teh izkušenj ni mogla imeti Evropa, ki ni živela v Enoumju, temveč v demokratični in tržno urejeni skupnosti !",positive,negative,negative
"HLADNIK, kaj bluziš, da ni Ligety - poskušaj najti podobnost s fotografijo na tej strani http://www.fplus.si/dogodki/ted_ligety_v
_formi/",neutral,negative,negative
derbi ja hahahahaha,positive,negative,negative
"Acinho je poslušu Moniko Potokar, tud za njo so prebivalke Rusije Ruskinje, he he.",neutral,negative,negative
"Ta prispevek ima pravilen naslov, vsebina pa je zgrešena. Realnost
je, da je Schengen trba branit, kar pomeni da je potrebno dobro
braniti mejo schengenskega območja, sicer ga kmalu ne bo več.",positive,neutral,neutral
"melanholik:
Primerjaš jabolka in hruške.
Velik (1.9,2.0,več) bencinski turbomotor se pelje enako dobro kot primerljivo velik dizel. Osebne izkušnje kažejo da je bolj tiha in mirna vožnja z velikim turbobencinarjem. Atmosferski bencinarji pa imajo več hrupa, več pretikanja, pa še kaj. Ampak potem primerjaj to s SDI, pa bo fer. Prisilno polnjenje pač spremeni pogoje igre, konkretno.",negative,neutral,neutral
"@iluzionistka

Zraven naj se napisejo koliko se jih je zaradi sluzbe odselilo v tujino in koliko jih hodi delat cez mejo.",negative,neutral,neutral
"Tina Lindsi sredi Vaila, Pero Freunda sredi Nemčije :P",positive,neutral,neutral
"Olimpijske igre niso najbolj pomenbne, vsaka tekma je pobenbna,.....Če zmaga v vseh disciplinah na OI s tem nebo najboljša smučarka.",negative,positive,positive
Pa nam ja tako dobre gre.,negative,positive,positive
"garmond
# 10.06.2015 ob 16:24 

Cerar je nasledil to, kar so drugi zakuhali, recimo 5 miljardno luknjo zaradi nacionalnega interesa, prodajo 15. podjetij so izglasovali v DZ leta 2013, nihče ni takrat protestiral, SDH je ustanovil Janša, nekaj je dodala AB, kaj ima Cerar s temi kekci, eno leto in pol so prodajali Telekom, danes ne vedo nič, odgovornost bi prevalili radi na Cerarja, kaj naj torej naredi?
Še dober je, da zdrži vse te pritiske, sedaj kot da je on kriv za vse, kar so nam v 25 letih plus 40 let prej naredili, pa kaj vam je?",positive,negative,negative
Kot da Liverpool računa na gol balottelija :D :D,neutral,positive,positive
Bravo Tavares in druscina. Odlicno sta odgovorili na vodstvo rudarja.,neutral,positive,positive
"@the law1

Daj mi prosim konkreten odgovor na vprašanje kaj bi naredil ti osebno ob propadu pokojninskega sklada. 
Ravno zato, ker trenutno država ureja izplačevanje pokojnin, upokojenci (še) niso socialni problem. In trenuten pokojninski sistem ni nevzdržen kar sam po sebi, ampak zato, ker se je v časih viška vplačil z njim financiralo množico drugih državnih projektov. Situacija je podobna propadu pokojninskega sklada, ampak s to razliko, da se takrat se ne bi mogel zanesti na državo, da ti reši rit.",negative,neutral,neutral
Za njihove Pick- Upe pa ni omejitev.....,negative,positive,positive
"Vceraj sem poslusala okroglo mizo na nemski televiziji. Udelezil se je je tudi madzarski veleposlanik v Nemciji. Lepo je razlozil in povedal, da morajo ravnati skladno s predpisi sengenske pogodbe. Begunci so se dolzni prijaviti v centru in oddati podatke. Potem jih razvrsca madzarska stran. Ker pa jih vecina zeli v Nemcijo, se ne prijavljajo in teh podatkov nocejo oddati. Tako kljub zici bezijo po svojih nacrtovanih poteh naprej. Lepo je povedal publicist, ki je rekel, da so edina resitev enake razmere in enaki pogoji v vseh evropskih drzavah. Jasno je, da si zelijo tja, kjer jih lepo sprejmejo, kjer dobijo socialno podporo (kot drugi Nemci), ki je veliko visja od plac in da ne bodo ostali v drzavi, ki jim nudi samo zatocisce. Gost je bil tudi nek 23-letni Sirec, ki je pribezal in zeli studirati v Nemciji. Zeno je seveda pustil doma (ali so samo njemu stregli po zivljenju?), bo pa seveda prisla za njim. Tudi islama ne sirijo muslimanske zenske, marvec moski. In teh je med begunci veliko, upam si trditi, da vec kot zensk in otrok. Vcasih so bile med begunci predvsem zenske in otroci. Tu pa gre verjetno se za kak drug namen in fenomen.",negative,neutral,neutral
Odpri flašo!,positive,neutral,neutral
"Danes tankal v Avstriji DIESEL 1,20€.
Torej od jutri bom prišparal samo še 14 centov namesto 16 :)",positive,negative,negative
"Ko bo brezposelnost prepolovljena se bo to 
dejansko občutilo.",neutral,positive,positive
Kje podpišem ZA... ;),neutral,positive,positive
"Kdaj se začne prodaja kart? Mam občutek, da bo karta koštala 40 evrov, ker NZS itak ve, da bo štadion nabito poln.",neutral,negative,negative
Naj si grki najprej gospodarsko opomorejo in sele potem odplacujejo dolg.,positive,negative,negative
"Novica nisi pa povedal ali je bil s pečkami in ali se ti je kakšna
zataknila v grlu?",neutral,negative,negative
"vsi na tekmo, vsi na Kongresni trg...",positive,neutral,neutral
"Ne nasedajte provokatorjem, take korekcije so nekaj povsem normalnega, to so priložnosti za nakupe delnic, če nimate kapitala pri roki hitro najemite kredit in kupujte delnice, preden pride do občutne korekcije navzgor.",negative,neutral,neutral
Pijavke so razočarane,positive,negative,negative
"Moti me samo besedna zveza ""dobila"".",negative,neutral,neutral
"Mah, vse lepo in prav. Podobno je bilo v Portorožu in nič se ni zgodilo. Mogoče pa rata na štajerskem. Vso srečo. Otočani ga radi žingajo, tako kot mi! Idealna poceni povratna destinacija :-)",neutral,negative,negative
"Enostavno...dokler se bo našlo dovolj ljudi, ki bodo stanovanja pripravljeni kupovati tudi po takih oderuških cenah, se cene ne bodo spustile niti za evro. Pač zakon ponudbe in povpraševanja, obenem pa vidimo, da prave krize še niti nimamo, ko mnogi takole preplačujejo stvari.",positive,negative,negative
"SREBRNIK TINA MAZE - III.

Nov srebrnik iz serije Tina Maze!

Predstavljamo vam zadnji srebrnik v seriji Tina Maze, poimenovan
""GOLDEN CHAMPION"", ki ga je za Zlatarno Celje izdala centralna
banka Cookovih otokov. Ta ponovno postavlja nove smernice v svetu
moderne numizmatike in športa. Tretja in zadnja serija srebrnika
obeležuje vse njene dosedanje vrhunske dosežke in je izdana v zelo
omejeni seriji 499 srebrnikov.

Sprednjo stran 1-unčnega srebrnika krasita barvna podoba Tine Maze
in košček njene čelade iz olimpijske sezone 2014. Na robu srebrnika
je navedena serijska številka, na zadnji strani pa je odtisnjena
podoba Elizabete II in označena nominalna vrednost izdajateljice
Cookovih otokov - 5 dolarjev.

Prednaročila in rezervacije sprejemamo po ugodnejši ceni do
9.4.2015. Ob prednaročilu in takojšnjem plačilu je cena srebrnika
179 €, pri rezervaciji pa si zagotovite srebrnik po ceni 189 €.
Redna cena od 10.4.2015 bo 198 €. Srebrnik bo dobavljiv od
10.4.2015 dalje.

Na razpolago še 443 srebrnikov Tina Maze.

ZLATARNA CELJE d.d., Kersnikova 19, 3000 Celje,
Tel. +386 (0)3 / 426 71 00;
Fax: +386 (0)3 / 426 71 11,
E-mail info@lencia.si


lencia-tinamaze.si/i...47&lang=si",positive,neutral,neutral
"@sirob

Ne nimam jih še. Vem pa dovolj, da mi je jasno, da se otrok ne rodi po urniku oz. na ukaz. Po googlanju med novicami se ugotovil, da je večinoma zapisano, da naj bi se Goranov otrok rodil pozno poleti (torej proti koncu avgusta). Glede na to, da se prvenstvo začne že 5. septembra in, da se otroci večkrat rodijo čez rok, se kaj lahko zgodi, da bo to ravno v času prvenstva. 
Glede na besede selektorja Zdovca pa sem prepričan, da če Goranova žena rodi do 20. avgusta, bo Goran zaigral na prvenstvu.",positive,neutral,neutral
Samo faco poglejte1,negative,neutral,neutral
"....Zabiče....lepo zapisano,pohvalno.",positive,neutral,neutral
Je pa zanimiva podelitev. Vse nagrade pobirajo bolgari. Res nenavadno.,neutral,negative,negative
"Nikdar ne vidim vrhunskega pianista jokat po medijih samo zato,ker je dnevno vlagal 8 ur v učenje klavirja.Kar je v primerjavi z športniki vsaj 4 ure več na dan,povprečno gledano.Da ne govorimo,da je sedenje za klavirjem dosti bolj monotono za telo in zahteva še večjo zbranost kot pa pri šport kjer ti adrenalin dela 100 na uro.",negative,positive,positive
"Počakajmo na številke o rasti števila delovnih mest v prvem četrtletju. In o rasti povprečne plače. Če tega ni, je rast mrtva črka na papirju.",negative,neutral,neutral
"Sazonv, o katerem Božiču že ti govoriš ?",negative,neutral,neutral
"Slovenske cene niso vredne komentarja. 

Dizel je sicer zakon za večjo kilometrino, tudi vozna dinamika je neprimerljivo boljša.

Bencin ostane za motor, starodobnik in vrtno kosilnico.  

Čez desetletje ali dve bomo pa tudi v Sloveniji bliže Norveški sedanjosti z EV.",negative,positive,positive
"ZDA so že enkrat z oborožitveno tekmo povsem izčrpale nekdanjo res
mogočno Sovjetsko zvezo, kjer standard ljudi ni nikoli dosegal
standarda najmanj razvite zahodne demokracije. Tudi sedaj bodo ZDA
verjetno izforsirale ekonomsko blokado proti Rusiji, katere BDP je
na nivoju Italije nekje pri 2 milijardah $ in je več kot 8 x krat
manjši od BDP-ja ZDA, ki od Rusije niso nič odvisne in si lahko
privoščijo ekonomsko blokado, ki bo Rusiji zaustavila rast BDP in
jo naredila še bolj revno, oligarhe in revno ljustvo naveličano
bednega standarda pa obrnila proti Putinu. Delnice v Rusiji že
padajo, tuj kapital se že umika, Rusija pa razen naravnih bogastev
nima skoraj nič, s čimer bi lahko ustvarila rast BDP. Pa tudi nihče
je praktično ne podpira, tudi večni komunistični zaveznik Kitajska
ne. Osebno mislim, da je Putin naredil veliko napako, s Krimom ni
kaj dosti pridobil, ker flota v Črnem morju ne more nikjer na
oceane, morda bodo Rusi samo malo lažje nadzirali plinovode. Biti
izoliran v globaliziranem svetu pa mojem pomeni zanesljivo
ekonomsko nazadovanje in rusko gospodarstvo tudi že sedaj prav nič
ne blesti.",neutral,negative,negative
"V Avstriji (tik ob naši meji) je bencin trenutno 1,043€. To je 16,2 centa manj kot pri nas!",positive,neutral,neutral
"""Slovenija je v drugem četrtletju imela največjo rast BDP v
EU.""
Res?
Slovenia's Economic Growth Accelerates as Exports Advance

www.bloomberg.com/ne...vance.html
By Boris Cerni Aug 29, 2014 1:21 PM GMT+0200
Slovenia’s economy accelerated to the fastest pace in six years as
exports to Europe and investments picked up.
Gross domestic product advanced an 2.9 percent in the second
quarter from a year ago, the fastest since Sept. 2008, from a
revised 2.1 percent in the previous three-month period, the
statistical office in the capital Ljubljana said on its website.
GDP rose 1 percent from the previous quarter. Exports surged 5.2
percent from a year earlier, it said.

Hungarian GDP Growth Jumps to Fastest Since 2006 on Cars

www.bloomberg.com/ne...-cars.html
By Zoltan Simon and Marton Eder Aug 14, 2014 1:24 PM GMT+0200

Hungary’s economy expanded at the fastest pace in eight years in
the second quarter as car production surged, diverging from
flagging growth in the euro area and parts of eastern Europe.
Gross domestic product rose 3.9 percent from a year earlier, the
most since the first three months of 2006, the Budapest-based
statistics office said today in a preliminary report. The median
estimate of 14 economists in a Bloomberg News survey was for 3.5
percent growth. GDP advanced 0.8 percent from the first
quarter.

Lep pozdrav,

Imre Szilágyi, Madžarska",negative,neutral,neutral
"Bom,ampak jaz bom spodaj vzel drugo majico:D",positive,neutral,neutral
"se bo že kej spomnu, lisjak",negative,neutral,neutral
"""so zabeležili povečanje števila novogradenj v Kozini, Hrpelju, Divači, ""

Prav se napiše takole:

""so zabeležili povečanje števila novogradenj na Kozini, v Hrpeljah, Divači, """,negative,neutral,neutral
"Smučanje ni pomembno.
Pomembno je, da bosta ostala Urbančič & Vrhovnik.",negative,positive,positive
Jaz bi še slovenskega MVP-ja vpoklical.,neutral,positive,positive
"Nepremičninski pok se nikoli ne bo zgodil, pa če ga napovedujejo še 15 let. Smo pač v EU. Oz se bo(je) zgodil, tako da bodo cene mirovale.",neutral,negative,negative
"A so nasi sploh kdaj zmagali kaksno tekmo v Stozicah?

Sploh, ce gledamo na kaksne pomembne tekme.",neutral,negative,negative
"Borili so se. To je treba priznati. Jaz sem z veseljem gledal sploh prvi polčas, ker se je res videla srčnost. To sem na marsikateri tekmi pogrešal. Drugi polčas malo slabša igra. Ne vem, če so pošle moči, mogoče kakšna neuspešna menjava... Pri manjavah mi je najbolj v učk padlo ker ni menjal Novakoviča, menjal je pa Bezjaka keteri je prispeval veliko več energije v igro naših.",neutral,positive,positive
"@nacekpacek: praviš, da se socializem ne izplača? kdo pa govori o socializmu? mešaš pojme med socializmom kot družbeno ureditvijo ter socialno državo...da se pa socialna država ne izplača pa me ne boš nikoli prepričal, saj imamo perfektne primere v vseh Skandinavskih državah - Danska, Švedska, Norveška in Finska...in ravno tako si tudi sledijo po urejenosti...",positive,negative,negative
Smola ali premalo odločnosti?,neutral,negative,negative
"Kakšni naslovi? Kaj je kdo prevzel ali bil in bo prevzet od ali po
""xyz"" se bo slej ko prej videlo. Lep dan.",negative,neutral,neutral
"Tujec, ki med obiskom naše dežele
spremlja lokalne medije ali se pridruži klepetu prebivalcev,
verjetno dobi vtis, da smo Slovenci narod
makroekonomistov.
Verjetno dobi tudi vtis, da smo Slovenci narod, ki ne želi uspeti.
En primer: v naši državi bučno olje velja za kulinarično posebnost.
Liter kakovostnega bučnega olja stane pri nas okrog 15 evrov, če bi
ga izvažali v večjih količinah, kot sedaj, bi proizvajalci imeli
velik zaslužek.

»""Moj oče obožuje bučno olje, ko se je preselil v Avstralijo, pa je
razočaran ugotovil, da tam buč ne gojijo, kaj šele pridelujejo
bučno olje,"" pripoveduje Sharan. ""Cene našega olja so precej višje
kot v Sloveniji. Liter olja prodajamo za približno 50 evrov,""
pojasnjuje Sharan in dodaja, da prodaja kljub temu raste.

""Večina Avstralcev bolj ali manj uporablja olivno olje, saj bučnega
olja, ki ga nekaj pride iz uvoza, niti ne poznajo, zato morava
ljudi poučevati, da je bučno olje na voljo in da je zdravo. In
moram reči, da ga, ko ga poskusijo, obožujejo in se zanj vedno bolj
zanimajo, zato imamo že veliko stalnih strank.""« Vir: siol.net,
članek: Avstralska Slovenka, ki v deželi kengurujev navdušuje z
bučnim oljem

""Bučno olje je kulinarična posebnost Slovenije, še posebej
Štajerske, Prekmurja in tudi dela Avstrije."" wikipedia.org",negative,positive,positive
"ni tako črno, vmes je 50 odtenkov sive",positive,neutral,neutral
"sicer pa še vedno čakam na ''strokovno'' argumentacijo, zakaj tisto ni bila roka :)",neutral,negative,negative
"celjan09
se popolnoma strinjam s teboj. Ne poznam nikogar, ki bi imel 3 mesece in pol dopusta na leto, kot bi ga imel Goran, če bi se pridružil reprezentanci po pravilih, se pravi prvega avgusta.",neutral,negative,negative
http://www.rtvslo.si/sport/sportni-sos/najvec-slovenskih-zmag-v-ljudskem-vrtu/373582,positive,neutral,neutral
"Ah, Zbornaya,  pri vas še niste slišali za Shakespearja? ;) 
A rose by any other name would smell as sweet.",negative,positive,positive
"Pa ne vem, od kje bi mi španci in hrvati imeli 3 točke? Prenaša se samo zmage. Vsak od naštetih je enkrat zmagal kar pomeni DVE točki naprej.",negative,neutral,neutral
http://www.uporabi.net/,positive,neutral,neutral
"Mene zanima, kje se to vidi? Na plačilni listi morda, na položnicah?",negative,neutral,neutral
mazzi je pa raje modro tiho,positive,neutral,neutral
"slovenija je veljala za napredno tranzicijsko državo, nizko zadolženo , hočem to nazaj !!!",positive,negative,negative
"Cene v tržnem gospodarstvu so rezultat ponudbe in povpraševanja. Primerjava z drugimi državami nima funkcijske povezave, le naivnemu posnemanju je lahko namenjena.",negative,neutral,neutral
Sodec po poizkusni bo tole izrwdno fer tekma,positive,neutral,neutral
"Jaz bom pa poskušal dat eno objektivo relano napoved...50% in večji padec je samo iluzija in se po moje ne bo nikoli zgodil in kakega večjega padca kot je bil do sedaj tudi po moje nebo...so ga obljubljali že za začetek prejšnjega leta, pa sredino, pa jesen, Jankovič je govoril o padcu cen za božič...še danes, ko na veliko propadajo gradbena podjetja ga ni! Mislim, da bo gradbeništvo v Sloveniji propadlo...nepremičnin nihče ne kupuje, investicij v javno infrastrukturo ni... največji del stečajne mase gradbenih podjetij bodo prevzele banke, ki pa delujejo na tako majhnem trgu da jim ni problem ""uskladit"" in držat nepremičnin do 10% pod sedanjo ceno. Povpraševanja bo zmeraj nekaj, ponudba se bo pa, po propadu gradbenikov ustavila...banke tudi novih kreditov za izgradnjo nepremičnin (razen res izjemoma za privlačne lokacije) ne bodo dajale, ker bi tako spet ustvarjale le dodatno ponudbo, kar bi lahko nižalo cene in celo tvegale nove nasedle nepremičninske naložbe! Eni pozabljate, da ne živimo več v socializmu, v kapitalizmu je očitno boljše da je kaka stvar neprodana in njena visoka cena služi za navidezno izboljšanje bilanc, kot pa da jo nekdo ceneje kupi. Na dolgi rok se bodo prazna stanovanja ziher prodala, sploh ker se bo ponudba ustavila. Ne moremo pa tudi računat, da se bo zaradi propada gradbenega sektorja znižala cena rabljenih stanovanj, ki je ravno tako relativno visoka. Kaj bo pomenil propad gradbenega sektorja za to državo bomo pa videli...samo glede na to da je ravno na račun gradbeništva raslo mlado slovensko gospodarstvo in še leta 08 ustvarilo 20% celotne gospodarske rasti in od katerega je še pred leti živelo cca 100.000 ljudi...po moje nič dobrega, sploh ker je od pufov gradbenih podjetij največ pokasirala država katero je bilo po zakonu treba poplačat pred podizvajalaci. Država sicer izpad milijardnih prihodkov, tudi iz naslova gradbene dejavnosti poskuša rešiti kratkoročno, z izdajo obveznic...samo medtem ko se je prej kuril denar in smo se zadolževali, smo dobili vsaj infrastrukturo...iz naslova AC programa so se gradile tudi šole, gasilski domovi, vodovodi, kanalizacije, lokalne ceste in ostala javna infrastruktura, da o ostalem zadovoljevanju interesov raznih civilnih iniciativ, ki so se formirale vzdolž trase in njihovem izsiljevanju države, niti ne govorim...in nenazadnje je na ta račun rasel tudi javni sektor. 

To je sicer samo moje skromno mnenje in poskušam za razliko od tipičnega ""banda kradljiva"" pisanja, razmišljat objektivno, pa tudi ne prodajam ali kupujem nobene nepremičnine.",neutral,negative,negative
p.s.-in nobeden nima pravice nobenemu te možnosti-ODVZETI !!!,neutral,negative,negative
"Končno malo pameti v EU.
Zapreti zunanje meje neprodušno in kaznovati prestop meje ilegalen z 5 let zapora in trajno prepovedjo vstopa v EU.",positive,negative,negative
"Že to da je nominirana, je veliko priznanje, s tem da je ona še dvakratna olimpijska prvakinja, kar ostale niso. Ampak kot vedno bodo tu razni lobiji imeli besedo, ne dosežki športnikov. Kje smo pa mi Slovenci na tem seznamu je jasno, "" no many no fany"". Vse je v kuvertah pod mizo, žal tudi pri teh stvareh.",positive,negative,negative
"Ja men zdele pise 8765 gledalcev....sej ce jih je 17.000 je pac rating 3. Se namesto.2 mnozi s 3

24x50x3=3600 eur za 12 minut oglasov.....",neutral,negative,negative
"Zakaj se ne uvedejo enaki davki za pokojnine,
kot jo morajo plačevati drugi državljani za dohodke iz preteklega
dela ( dividende, obresti, najemnine,... )
Seveda bodo rekli, da so pokojnine dohodek na podlagi preteklega
dela.
Tudi dividende, obresti, najemnine za nepremeičnine, davki na
nepremičnine so dohodki, ki izvirajo iz preteklega dela generacij,
ki je bil privarčevan in potem kot kapital naložen v banke,
podjetja in nepremičnine, pa moramo vseeno plačevati davek
dohodnino.
Ljudje prihranke kot kapital investirajo, zato da bodo na stara
leta imeli poleg pokojnine še kakšen dohodek iz kapitala.
Na ta način bi pokrili vsaj del proračunskih transferjev iz
državnega proračuna v pokojninsko blagajano.
Obenem pa odpravite kakršnokoli upokojevanje pred dopolnjenimi 40
leti pokojninske dobe.",neutral,negative,negative
¸Dobr lej....:),positive,neutral,neutral
še jodl ga je preskočil,negative,positive,positive
Po imenih ekipa za izpad v skupinskem delu...,negative,neutral,neutral
"Kljub temu, da delnice tudi danes, 17.9. še padajo, promet v lotih kaže, da je kupcev vse več, trgujejo pa z majhnimi svežnji ali posameznimi loti,  da delnice ne bi prehitro narasle. Prognoziram, da bodo najprometnejše delnice (Gorenje, Sava, Krka, Petrol ....) še ta mesec znatno poskočile. Ker nekatera podjetja še niso povsem privatizirana, še posebej tista ne, katerih velik del imata v lasti kapitalska in odškodninska družba, bo delnica, na primer Save, v roku enega ali dveh let vredne vsaj 2,5 x več kot danes, 17.9.2008. Na tale komentar bom čez kakšno leto spomnil tiste, ki te dni panično porodajajo.",neutral,positive,positive
